FILE;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F367;ocr;5;6;142251;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: iText1.3.1 by lowagie.com (based on itext-paulo-154)) ;no;none;4;no;yes;595 x 842 pts (A4);1.4;0;23;62;10;0;73
F368;ocr;1;0;27522;DocuScan - NewInformatics ;none;no;none;1;no;yes;592 x 842 pts;1.4;0;1;0;0;0;0
F369;txt;4;9;140857;Microsoft® Office Word 2007 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ ;no;none;3;no;yes;595 x 842 pts (A4);1.5;0;24;46;59;1;77
F370;txt;4;9;140857;Microsoft® Office Word 2007 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ ;no;none;3;no;yes;595 x 842 pts (A4);1.5;0;24;46;59;1;77
F371;txt;4;9;140857;Microsoft® Office Word 2007 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ ;no;none;3;no;yes;595 x 842 pts (A4);1.5;0;24;46;59;1;77
F372;ocr;1;0;292563;NAPS2 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;no;none;1;no;yes;595 x 841 pts;1.4;0;1;0;0;0;0
F373;ocr;2;0;83990;none;none;no;none;2;no;yes;841.68 x 595.08 pts;1.4;270;1;1;1;0;0
F374;ocr;1;0;64951;none;none;no;none;1;no;yes;841.68 x 595.08 pts;1.4;270;1;0;0;0;0
F375;txt;3;4;248654;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F376;txt;1;0;48203;none;iTextSharp 4.0.4 (based on iText 2.0.4) ;no;none;1;no;yes;595 x 842 pts (A4);1.4;0;1;0;0;0;0
F377;txt;0;2;70650;none;tx_pdf 21.0.151.500 ;no;none;2;no;yes;595.15 x 841.65 pts;1.4;0;54;3;3;24;378
F378;ocr;729;0;743927;KM_C224e ;KONICA MINOLTA bizhub C224e ;no;none;31;no;yes;595 x 841 pts;1.5;0;1;1;1;0;0
F379;ocr;55;0;95271;KM_C224e ;KONICA MINOLTA bizhub C224e ;no;none;3;no;yes;595 x 841 pts;1.5;0;1;1;1;0;0
F380;ocr;20;0;691507;none;EPSON Scan ;no;none;20;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F381;ocr;1;0;123863;RICOH MP 5054 ;RICOH MP 5054 ;no;none;1;no;yes;842.04 x 595.44 pts (A4);1.4;270;1;0;0;0;0
F382;ocr;2;2;11460;none;iText1.3.1 by lowagie.com (based on itext-paulo-154) ;no;none;1;no;yes;595 x 842 pts (A4);1.4;0;51;0;0;17;129
F383;txt;4;10;175641;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F384;ocr;2;0;157730;RICOH MP 5054 ;RICOH MP 5054 ;no;none;2;no;yes;842.04 x 595.44 pts (A4);1.4;270;1;1;1;0;0
F385;txt;4;5;69399;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;30;52;52;9;171
F386;txt;2;2;96400;PScript5.dll Version 5.2.2 ;AFPL Ghostscript 8.50 ;no;none;2;no;yes;595 x 842 pts (A4);1.3;0;47;1;1;15;271
F387;txt;10;15;296176;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F388;txt;1;11;338726;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07;no;none;0;no;no;none;none;0;0;0;0;0;0
F389;ocr;42;0;6637009;KMBT_283 ;KONICA MINOLTA bizhub 283 ;no;none;42;no;yes;595.08 x 841.68 pts;1.4;0;1;1;1;0;0
F390;ocr;3;12;479528;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F391;ocr;1;0;322547;KMBT_283 ;KONICA MINOLTA bizhub 283 ;no;none;1;no;yes;595.08 x 841.68 pts;1.4;0;1;0;0;0;0
F392;txt;1;2;27581;none;itext-paulo (lowagie.com) - build 130 ;no;none;3;no;yes;595 x 842 pts (A4);1.4;0;30;43;20;19;300
F393;txt;1;2;24395;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;30;3;3;20;309
F394;txt;1;2;24285;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;30;3;3;22;291
F395;txt;77;23;314564;PDFCreator Version 1.7.3 ;GPL Ghostscript 9.10 ;no;none;21;no;yes;595 x 842 pts (A4);1.4;0;19;39;69;8;58
F396;txt;2;4;81898;Microsoft® Word 2010 ;Microsoft® Word 2010 ;yes;none;2;no;yes;595.32 x 841.92 pts (A4);1.5;0;41;1;1;20;349
F397;ocr;1;0;36121;PFU ScanSnap Manager 5.1.60 #S1300i ;Adobe PDF Scan Library 3.2 ;no;none;1;no;yes;584.16 x 833.28 pts;1.3;0;1;0;0;0;0
F398;ocr;5;0;193945;PScript5.dll Version 5.2.2 ;Acrobat Distiller 9.0.0 (Windows) ;no;none;5;no;yes;595 x 842 pts (A4);1.5;0;1;1;1;0;0
F399;ocr;1;0;31587;PScript5.dll Version 5.2.2 ;Acrobat Distiller 9.0.0 (Windows) ;no;none;1;no;yes;595 x 842 pts (A4);1.5;0;1;0;0;0;0
F400;ocr;635;0;5509289;bizhub C3350 ;bizhub C3350 ;no;none;16;no;yes;595.296 x 841.896 pts (A4);1.3;0;1;1;1;0;0
F401;txt;1;2;264044;none;tx_pdf 21.0.151.500 ;no;none;1;no;yes;612 x 792 pts (letter);1.4;0;15;0;0;8;116
F402;ocr;1;0;62562;PScript5.dll Version 5.2.2 ;Acrobat Distiller 8.0.0 (Windows) ;no;none;1;no;yes;595 x 842 pts (A4);1.4;0;1;0;0;0;0
F403;txt;0;13;46824;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;3;no;yes;595 x 842 pts (A4);1.4;0;30;41;52;1;104
