FILE;LOSS;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F146;.12;txt;3;5;280990;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F147;.19;txt;24;17;440675;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07 ;no;none;22;no;no;595 x 842 pts (A4);1.4;0;20;20;52;0;19
F148;.10;txt;1;12;248929;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07 ;no;none;3;no;no;595 x 842 pts (A4);1.4;0;30;56;45;0;129
F149;.04;txt;3;17;274180;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;yes;595.28 x 841.89 pts (A4);1.4;0;34;51;47;7;205
F150;.04;txt;4;31;1076917;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;no;595.28 x 841.89 pts (A4);1.4;0;34;39;45;6;209
F151;.23;txt;4;31;1076706;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;no;595.28 x 841.89 pts (A4);1.4;0;34;39;45;6;206
F152;.25;txt;2;6;93902; ;iTextSharp 5.0.6 (c) 1T3XT BVBA ;no;none;3;no;yes;595 x 842 pts (A4);1.4;0;27;55;23;1;81
F153;.07;ocr;1;0;42083;none;none;no;none;1;no;yes;596 x 841 pts;1.4;0;1;0;0;0;0
F154;.15;txt;1;2;14595;PDFCreator Version 1.7.2 ;GPL Ghostscript 9.10 ;no;none;1;no;yes;595 x 842 pts (A4);1.4;0;41;0;0;20;318
F155;.04;ocr;3;4;238078;RICOH Aficio MP 9002 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: RICOH Aficio MP 9002) ;no;none;3;no;yes;595 x 842 pts (A4);1.4;0;29;10;10;2;76
F156;.03;ocr;3;0;58500;PScript5.dll Version 5.2.2 ;Acrobat Distiller 9.0.0 (Windows) ;no;none;3;no;yes;595 x 842 pts (A4);1.5;0;1;1;1;0;0
F157;.18;ocr;1;0;28796;none;none;no;none;1;no;yes;593.28 x 832.32 pts;1.3;0;1;0;0;0;0
F158;.01;txt;2;11;169328;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;yes;595 x 842 pts (A4);1.4;0;40;15;17;24;346
F159;.23;txt;8;14;240271;Nitro Pro 8 ;none;no;AcroForm;4;no;yes;595 x 842 pts (A4);1.7;90;43;47;35;15;132
F160;.15;ocr;1;4;62743;PFU ScanSnap Manager 5.1.30 #S1500 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: Adobe PDF Scan Library 3.2) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;25;11;11;2;82
F161;.10;ocr;3;3;125171;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F162;.14;txt;0;4;8926;PScript5.dll Version 5.2.2 ;AFPL Ghostscript 8.50 ;no;none;1;no;yes;595 x 842 pts (A4);1.3;0;27;0;0;7;146
F163;.02;ocr;2;0;55944;Xerox WorkCentre 5330 ;Xerox WorkCentre 5330 ;no;none;2;no;yes;595.44 x 842.4 pts (A4);1.3;0;1;1;1;0;0
F164;.19;txt;0;5;10980;PScript5.dll Version 5.2.2 ;AFPL Ghostscript 8.50 ;no;none;1;no;yes;595 x 842 pts (A4);1.3;0;29;0;0;10;184
F165;.10;ocr;12;0;712210;Nitro Pro ;none;no;none;12;no;yes;595.2 x 841.68 pts;1.7;0;1;1;1;0;0
F166;.06;ocr;4;0;478267;none;none;no;none;4;no;yes;595.2 x 841.92 pts (A4);1.4;0;1;1;1;0;0
F167;.34;ocr;2;0;157922;none;none;no;none;2;no;yes;595.2 x 841.92 pts (A4);1.4;0;1;1;1;0;0
F168;.32;ocr;3;0;206321;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07 ;no;none;1;no;no;595 x 842 pts (A4);1.4;0;1;0;0;0;0
F169;.15;ocr;1;3;37442;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;34;1;1;15;265
F170;.12;ocr;2;0;93588;Gestion Juridica;http://www.adultpdf.com ;no;none;2;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F171;.12;ocr;2;0;93588;Gestion Juridica;http://www.adultpdf.com ;no;none;2;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F172;.10;ocr;10;0;3059180;Sistemas Juridicos ;Gateway Software Productions, PDF_OCX v1.5 ;no;none;10;no;yes;595.2 x 841.44 pts;1.4;0;1;1;1;0;0
F173;.12;txt;4;5;112730;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;no;595 x 842 pts (A4);1.4;0;29;50;50;7;178
F174;.22;ocr;2;0;172244;DocuScan - NewInformatics ;none;no;none;2;no;yes;592 x 842 pts;1.4;0;1;1;1;0;0
F175;.05;ocr;2;0;61098;DocuScan - NewInformatics ;none;no;none;2;no;yes;592 x 842 pts;1.4;0;1;1;1;0;0
F176;.08;ocr;4;0;128232;DocuScan - NewInformatics ;none;no;none;4;no;yes;592 x 842 pts;1.4;0;1;1;1;0;0
F177;.37;ocr;2;0;85594;OKI ES7470 MFP ;SECnvtToPDF V1.0 ;no;none;2;no;yes;595 x 842 pts (A4);1.7;0;1;1;1;0;0
F178;.32;ocr;1;0;354157;KM_284e ;KONICA MINOLTA bizhub 284e ;no;none;1;no;yes;595 x 841 pts;1.4;0;1;0;0;0;0
F179;.09;txt;2;8;50688;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;38;42;42;11;228
F180;.08;txt;1;3;100127;Mozilla/5.0 (Windows NT 6.3;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F181;.10;ocr;2;0;513299;Application ;EZTwain Pro 3.20b22 using EZPdf 1.31 ;no;none;2;no;yes;595.2 x 841.92 pts (A4);1.3;0;1;1;1;0;0
F182;.01;ocr;7;0;199537;TOSHIBA e-STUDIO256 ;SECnvtToPDF V1.0 ;no;none;7;no;yes;595 x 842 pts (A4);1.7;0;1;1;1;0;0
F183;.08;ocr;2;0;91943;none;none;no;none;2;no;yes;841.68 x 595.08 pts;1.4;270;1;1;1;0;0
F184;.08;ocr;1;0;297492; ; ;no;none;1;no;yes;596 x 842 pts (A4);1.3;0;1;0;0;0;0
F185;.08;ocr;3;0;108330;LTEscaner.Exe ;EZTwain Pro 3.30b28 using EZPdf 1.52 ;no;none;3;no;yes;594.36 x 839.16 pts;1.4;0;1;1;1;0;0
F186;.14;ocr;1;0;32804;Gestión de Despachos ;EZTwainX 3.30b1 using EZPdf 1.42 ;no;none;1;no;yes;595.2 x 824.64 pts;1.3;0;1;0;0;0;0
F187;.05;txt;8;14;258516;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F188;.20;txt;2;9;217419;Microsoft® Word 2013 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ M i c r o s o f t ®   W o r d   2 0 1 3) ;no;none;2;no;no;595.32 x 841.92 pts (A4);1.5;0;44;67;67;22;295
F189;.20;txt;8;14;279903;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F190;.20;txt;1;4;76230;none;EVO HTML to PDF Converter 5.6 ;no;AcroForm;1;no;yes;612 x 842 pts;1.5;0;49;0;0;10;46
F191;.20;ocr;28;0;93389;KM_554e ;KONICA MINOLTA bizhub 554e ;no;none;3;no;yes;595 x 841 pts;1.4;0;1;1;1;0;0
F192;.12;txt;2;7;459013;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F193;.15;txt;3;5;125032;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;no;595 x 842 pts (A4);1.4;0;60;52;52;18;324
F194;.06;txt;2;7;459013;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
