DOCUMENTO;PERDIDA;PALABRAS
F163;.02;78
F164;.19;184
F165;.10;715
F166;.06;609
F167;.34;252
F168;.32;663
F169;.15;265
F170;.12;324
F171;.12;606
F172;.10;454
F173;.12;178
F174;.22;315
F175;.05;227
F176;.08;745
F177;.37;654
F178;.32;280
F179;.09;228
F180;.08;642
F181;.10;92
F182;.01;543
F183;.08;286
F184;.08;733
F185;.08;755
F186;.14;315
F187;.05;516
F188;.20;295
F189;.20;176
F190;.20;46
F191;.20;401
F192;.12;454
F193;.15;324
F194;.06;773
F195;.03;107
F196;.21;289
F197;.19;727
F198;.39;657
F199;.19;265
F200;.08;91
F201;.03;268
F202;.10;126
F203;.10;324
F204;.15;462
F205;.29;238
F206;.09;554
F207;.72;762
F208;.07;395
F209;.08;475
F210;.12;874
F211;.06;197
F212;.10;398
F213;.08;832
F214;.02;214
F215;.04;808
F216;.09;80
F217;.10;748
F218;.10;444
F219;.07;720
F220;.05;496
F221;.04;36
F222;.25;875
F223;.31;34
F224;.42;530
F225;.16;648
F226;.16;306
F227;.14;456
F228;.11;180
F229;.48;544
F230;.13;275
F231;.11;672
F232;.26;432
F233;.27;51
F234;.13;509
F235;.17;134
F236;.20;293
F237;.10;720
F238;.14;729
F239;.09;108
F240;.15;634
F241;.03;156
F242;.07;264
F243;.05;260
F244;.03;268
F245;.07;566
F246;.04;227
F247;.09;239
F248;.08;189
F249;.17;248
F250;.11;247
F251;.17;867
F252;.12;192
F253;.28;824
F254;.09;61
F255;.09;484
F256;.33;247
F257;.06;247
F258;.32;315
F259;.07;194
F260;.09;420
F261;.22;300
F262;.08;103
F263;.09;735
F264;.06;353
F265;.04;83
F266;.08;575
F267;.05;281
F268;.29;211
F269;.38;207
F270;.38;579
F271;.14;77
F272;.12;87
F273;.06;81
F274;.04;81
F275;.30;114
F276;.20;167
F277;.36;403
F278;.04;251
F279;.12;167
F280;.04;156
F281;.16;700
F282;.08;769
F283;.10;109
F284;.46;187
F285;.03;342
F286;.06;358
F287;.25;490
F288;.14;29
F289;.08;490
F290;.04;257
F291;.08;294
F292;.07;312
F293;.01;234
F294;.03;262
F295;.09;144
F296;.05;295
F297;.15;391
F298;.10;281
F299;.18;284
F300;.38;202
F301;.10;568
F302;.08;488
F303;.26;305
F304;.14;60
F305;.13;82
F306;.21;839
F307;.05;362
F308;.09;644
F309;.14;753
F310;.03;850
F311;.04;477
F312;.04;87
F313;.07;245
F314;.33;102
F315;.02;274
F316;.12;893
F317;.05;328
F318;.17;341
F319;.32;243
F320;.14;61
F321;.13;343
F322;.07;41
F323;.18;173
F324;.11;112
F325;.18;813
F326;.25;786
F327;.22;889
F328;.44;303
F329;.13;129
F330;.32;66
F331;.61;66
F332;.02;66
F333;.02;605
F334;.10;557
F335;.10;108
F336;.04;497
F337;.04;482
F338;.07;199
F339;.07;158
F340;.14;25
F341;.06;157
F342;.06;155
F343;.04;596
F344;.05;471
F345;.05;544
F346;.04;555
F347;.11;47
F348;.11;624
F349;.03;809
F350;.12;228
F351;.12;109
F352;.12;114
F353;.14;407
F354;.06;266
F355;.15;773
F356;.04;120
F357;.07;286
F358;.05;157
F359;.06;836
F360;.05;167
F361;.13;37
F362;.13;255
F363;.09;525
F364;.05;367
F365;.14;431
F366;.09;263
F367;.13;73
F368;.28;888
F369;.15;77
F370;.05;77
F371;.06;77
F372;.14;878
F373;.09;272
F374;.05;815
F375;.05;213
F376;.20;339
F377;.21;378
F378;.26;383
F379;.26;272
F380;.07;316
F381;.12;618
F382;.17;129
F383;.07;795
F384;.09;895
F385;.04;171
F386;.11;271
F387;.13;646
F388;.09;289
F389;.06;137
F390;.12;146
F391;.13;291
F392;.12;300
F393;.06;309
F394;.02;291
F395;.17;58
F396;.05;349
F397;.04;484
F398;.14;280
F399;.18;477
F400;.16;561
F401;.10;116
F402;.09;429
F403;.11;104
F404;.22;107
F405;.18;64
F406;.02;193
F407;.35;462
F408;.28;330
F409;.21;328
F410;.18;320
F411;.16;315
F412;.25;328
F413;.10;212
F414;.03;271
F415;.07;248
F416;.21;449
F417;.14;561
F418;.14;230
F419;.14;550
F420;.28;86
F421;.21;176
F422;.12;388
F423;.09;74
F424;.10;55
F425;.12;371
F426;0;768
F427;.12;10
F428;.07;535
F429;.13;581
F430;.10;559
F431;.06;337
F432;.05;370
F433;.05;158
F434;.17;76
F435;.08;119
F436;.07;121
F437;.06;115
F438;.05;113
F439;.19;428
F440;.10;205
F441;.15;292
F442;.08;755
F443;.06;806
F444;.10;195
F445;.10;179
F446;.08;301
F447;.05;314
F448;.21;543
F449;.06;410
F450;.06;825
F451;.16;489
F452;.16;622
F453;.07;167
F454;.18;681
F455;.34;313
F456;.05;143
F457;.07;307
F458;.04;809
F459;.04;218
F460;.16;295
F461;.16;291
F462;.13;358
F463;.08;297
F464;.17;755
F465;.09;71
F466;.09;65
F467;.08;625
F468;.07;771
F469;.09;73
F470;.08;73
F471;.08;73
F472;.02;535
F473;.08;388
F474;.02;67
F475;.18;75
F476;.10;727
F477;.13;281
F478;.33;449
F479;.27;338
F480;.12;713
F481;.11;712
F482;.11;232
F483;.22;67
F484;.43;62
F485;.06;62
F486;.16;62
F487;.15;265
F488;.34;57
F489;.26;89
F490;.26;808
F491;.13;554
F492;.05;134
F493;.11;211
F494;.13;72
F495;.05;225
F496;.09;638
F497;.19;713
F498;.36;197
F499;.19;345
F500;.12;324
F501;.17;129
F502;.16;253
F503;.19;563
F504;.03;405
F505;.11;303
F506;.06;364
F507;.04;157
F508;.09;810
F509;.34;302
F510;.04;309
F511;.03;788
F512;.05;855
F513;.07;897
F514;.03;870
F515;.03;723
F516;.06;451
F517;.24;564
F518;.19;246
F519;.16;819
F520;.10;307
